2025-01-17 10:06:33.680 | INFO     | utils.utils_logger:<module>:38 - Logging to file: logs\project_log.log
2025-01-17 10:06:33.682 | INFO     | __main__:main:110 - START producer...
2025-01-17 10:06:33.682 | INFO     | __main__:main:111 - Hit CTRL c (or CMD c) to close.
2025-01-17 10:06:33.682 | INFO     | __main__:get_message_interval:53 - Messages will be sent every 3 seconds.
2025-01-17 10:06:33.682 | INFO     | __main__:main:118 - [BUZZ] I just found an app in the park! It was funny and now I feel thrilled.
2025-01-17 10:06:36.683 | INFO     | __main__:main:118 - [BUZZ] I just saw a meme at a friend's place! It was boring and now I feel disappointed.
2025-01-17 10:06:39.684 | INFO     | __main__:main:118 - [BUZZ] I just tried a movie at a friend's place! It was boring and now I feel thrilled.
2025-01-17 10:06:42.688 | INFO     | __main__:main:118 - [BUZZ] I just found a trick at the office! It was exciting and now I feel disappointed.
2025-01-17 10:06:45.689 | INFO     | __main__:main:118 - [BUZZ] I just found a trick in the park! It was exciting and now I feel happy.
2025-01-17 10:06:48.690 | INFO     | __main__:main:118 - [BUZZ] I just found a trick at the office! It was funny and now I feel confused.
2025-01-17 10:06:51.691 | INFO     | __main__:main:118 - [BUZZ] I just saw a meme on the subway! It was funny and now I feel thrilled.
2025-01-17 10:06:54.691 | INFO     | __main__:main:118 - [BUZZ] I just saw a meme at a friend's place! It was boring and now I feel confused.
2025-01-17 10:06:57.692 | INFO     | __main__:main:118 - [BUZZ] I just saw a story at a friend's place! It was weird and now I feel confused.
2025-01-17 10:07:00.693 | INFO     | __main__:main:118 - [BUZZ] I just saw a movie at a friend's place! It was boring and now I feel happy.
2025-01-17 10:07:03.695 | INFO     | __main__:main:118 - [BUZZ] I just loved a meme at the office! It was funny and now I feel amazed.
2025-01-17 10:07:06.696 | INFO     | __main__:main:118 - [BUZZ] I just tried a trick at a friend's place! It was exciting and now I feel disappointed.
2025-01-17 10:07:09.697 | INFO     | __main__:main:118 - [BUZZ] I just tried a meme at the office! It was boring and now I feel thrilled.
2025-01-17 10:07:12.699 | INFO     | __main__:main:118 - [BUZZ] I just found a trick at the office! It was funny and now I feel disappointed.
2025-01-17 10:07:15.700 | INFO     | __main__:main:118 - [BUZZ] I just saw an app in the park! It was weird and now I feel disappointed.
2025-01-17 10:07:18.701 | INFO     | __main__:main:118 - [BUZZ] I just found a movie in the park! It was funny and now I feel happy.
2025-01-17 10:07:21.702 | INFO     | __main__:main:118 - [BUZZ] I just loved a meme at the office! It was weird and now I feel disappointed.
2025-01-17 10:07:24.703 | INFO     | __main__:main:118 - [BUZZ] I just found a trick at the beach! It was funny and now I feel happy.
2025-01-17 10:07:27.705 | INFO     | __main__:main:118 - [BUZZ] I just tried an app at the beach! It was funny and now I feel amazed.
2025-01-17 10:07:30.254 | INFO     | utils.utils_logger:<module>:38 - Logging to file: logs\project_log.log
2025-01-17 10:07:30.254 | INFO     | __main__:main:100 - START...
2025-01-17 10:07:30.255 | INFO     | __main__:main:102 - Reading file located at logs\project_log.log.
2025-01-17 10:07:30.706 | INFO     | __main__:main:118 - [BUZZ] I just tried a trick on the subway! It was weird and now I feel disappointed.
